Name,Age,Position,Player Nationality,Market Value,Club,League,League Country,Transfer Type,Fee
Ferro,25,Centre-Back,Portugal,3.5,Vitesse,Eredivisie,Netherlands,Loan,
Danilo Barbosa,26,Defensive Midfield,Brazil,3.5,Botafogo,Série A,Brazil,Free,
Shoya Nakajima,28,Attacking Midfield,Japan,3.5,Antalyaspor,Süper Lig,Turkey,Free,
Aboubakar Kamara,27,Centre-Forward,Mauritania,3.5,Aris Saloniki,Super League 1,Greece,Loan,
Roberto Piccoli,22,Centre-Forward,Italy,3.5,FC Empoli,Serie A,Italy,Loan,
Marko Pjaca,27,Left Winger,Croatia,3.5,FC Empoli,Serie A,Italy,Loan,
Marlon,25,Left-Back,Brazil,3.5,Ankaragücü,Süper Lig,Turkey,Free,
Pêpê,25,Central Midfield,Portugal,3.5,Ankaragücü,Süper Lig,Turkey,Loan,
Taylan Antalyali,27,Central Midfield,Turkey,3.5,Ankaragücü,Süper Lig,Turkey,Loan,
Bryan Reynolds,21,Right-Back,United States,3.5,KVC Westerlo,Jupiler Pro League,Belgium,Loan,
Joe Rothwell,27,Central Midfield,England,3.5,Bournemouth,Premier League,England,Free,
Lorenzo Colombo,20,Centre-Forward,Italy,3.5,Lecce,Serie A,Italy,Loan,
Di'Shon Bernard,22,Centre-Back,Jamaica,3.5,Portsmouth,League One,England,Loan,
Callum Styles,22,Central Midfield,Hungary,3.5,Millwall,Championship,England,Loan,
Michaël Cuisance,23,Central Midfield,France,3.5,Sampdoria,Serie A,Italy,Loan,
Patrick Cutrone,24,Centre-Forward,Italy,3.5,Como,Serie B,Italy,Unknown,
Douglas Costa,31,Right Winger,Brazil,3.5,Los Angeles,MLS,United States,Free,
Ismaily,32,Left-Back,Brazil,3.5,LOSC Lille,Ligue 1,France,Free,
Antonio Blanco,22,Defensive Midfield,Spain,3.5,Alavés,LaLiga2,Spain,Loan,
Cecilio Domínguez,27,Left Winger,Paraguay,3.5,Santos Laguna,Liga MX Clausura,Mexico,Free,
Ibrahima Niane,23,Centre-Forward,Senegal,3.5,Angers SCO,Ligue 1,France,Loan,
Marcel Ruiz,21,Central Midfield,Mexico,3.5,Toluca,Liga MX Clausura,Mexico,Unknown,
Ionut Radu,25,Goalkeeper,Romania,3.5,Cremonese,Serie A,Italy,Loan,
Robert Muric,26,Right Winger,Croatia,3.5,Konyaspor,Süper Lig,Turkey,Unknown,
Juan Otero,27,Right Winger,Colombia,3.5,Sporting Gijón,LaLiga2,Spain,Loan,
Óscar Estupiñán,25,Centre-Forward,Colombia,3.5,Hull City,Championship,England,Free,
Lucas Halter,22,Centre-Back,Brazil,3.5,Goiás,Série A,Brazil,Loan,
Mattia Caldara,28,Centre-Back,Italy,3.5,Spezia Calcio,Serie A,Italy,Loan,
Bradley Locko,20,Left-Back,France,3.5,Stade Brestois,Ligue 1,France,Loan,
Omar Fernández,29,Left Winger,Colombia,3.5,Puebla FC,Liga MX Clausura,Mexico,Loan,
Farid Boulaya,29,Attacking Midfield,Algeria,3.5,Al-Gharafa SC,Stars League,Qatar,Free,
Charles Aránguiz,33,Central Midfield,Chile,3.5,Internacional,Série A,Brazil,Free,
Berke Özer,22,Goalkeeper,Turkey,3.5,Portimonense,Liga Portugal,Portugal,Free,
Vitinho,28,Left Winger,Brazil,3.5,Ettifaq FC,Saudi Pro League,Saudi Arabia,Free,
Luca Moro,21,Centre-Forward,Italy,3.5,Frosinone,Serie B,Italy,Loan,
Kanu,25,Centre-Back,Brazil,3.5,EC Bahia,Série A,Brazil,Loan,
Raul Gustavo,23,Centre-Back,Brazil,3.5,EC Bahia,Série A,Brazil,Loan,
Fabiano Silva,22,Right-Back,Brazil,3.5,Kasimpasa,Süper Lig,Turkey,Loan,
Caio Alexandre,23,Central Midfield,Brazil,3.5,Fortaleza,Série A,Brazil,Loan,
Zinedine Ferhat,29,Right Winger,Algeria,3.5,Alanyaspor,Süper Lig,Turkey,Free,
Aarón Molinas,22,Attacking Midfield,Argentina,3.5,Tigre,Copa de la Liga,Argentina,Loan,
Juan Fernando Quintero,29,Attacking Midfield,Colombia,3.5,Junior FC,Liga Dimayor I,Colombia,Free,
Alexis Canelo,30,Centre-Forward,Argentina,3.5,Club Tijuana,Liga MX Clausura,Mexico,Free,
Manuel Castro,27,Right Midfield,Uruguay,3.5,FC Juárez,Liga MX Clausura,Mexico,Free,
Domingo Blanco,27,Central Midfield,Argentina,3.5,SK Dnipro-1,Premier Liga,Ukraine,Free,
Joakim Nilsson,28,Centre-Back,Sweden,3.5,St. Louis CITY,United States,United States,Free,
Carlos Andrés Gómez,20,Right Winger,Colombia,2.5,Salt Lake,MLS,United States,Permanent,3.49
Harrison Ashby,21,Right-Back,Scotland,3.0,Newcastle,Premier League,England,Permanent,3.4
Jimmy-Jay Morgan,17,Centre-Forward,England,,Chelsea U21,Premier League 2,England,Permanent,3.4
Ahmed Musa,29,Right Winger,Nigeria,3.4,Sivasspor,Süper Lig,Turkey,Free,
Gift Orban,20,Centre-Forward,Nigeria,1.0,KAA Gent,Jupiler Pro League,Belgium,Permanent,3.3
Saba Lobzhanidze,28,Left Winger,Georgia,3.3,Karagümrük,Süper Lig,Turkey,Loan,
Jhoanner Chávez,20,Left-Back,Ecuador,2.0,EC Bahia,Série A,Brazil,Permanent,3.25
Isak Hien,23,Centre-Back,Sweden,1.0,Hellas Verona,Serie A,Italy,Permanent,3.2
Manu García,24,Attacking Midfield,Spain,3.0,Aris Saloniki,Super League 1,Greece,Permanent,3.2
João Klauss,25,Centre-Forward,Brazil,3.0,St. Louis CITY,United States,United States,Permanent,3.2
Vakoun Bayo,25,Centre-Forward,Cote d'Ivoire,3.2,RSC Charleroi,Jupiler Pro League,Belgium,Permanent,1.5
Patrick van Aanholt,32,Left-Back,Netherlands,3.2,PSV Eindhoven,Eredivisie,Netherlands,Loan,
João Figueiredo,26,Centre-Forward,Brazil,3.2,Basaksehir,Süper Lig,Turkey,Permanent,6.5
Lucas Romero,28,Defensive Midfield,Argentina,3.2,León,Liga MX Clausura,Mexico,Permanent,5.64
Ebrima Colley,22,Right Winger,The Gambia,3.2,Karagümrük,Süper Lig,Turkey,Loan,
Cédric Brunner,28,Right-Back,Switzerland,3.2,FC Schalke 04,Bundesliga,Germany,Free,
Jorge Morel,25,Centre-Back,Paraguay,3.2,Adana Demirspor,Süper Lig,Turkey,Loan,
Emirhan Ilkhan,18,Central Midfield,Turkey,3.0,Torino,Serie A,Italy,Permanent,4.9
Sotiris Alexandropoulos,20,Central Midfield,Greece,3.0,Sporting CP,Liga Portugal,Portugal,Permanent,4.0
Arkadiusz Reca,27,Left-Back,Poland,3.0,Spezia Calcio,Serie A,Italy,Permanent,3.9
Josha Vagnoman,21,Right-Back,Germany,3.0,VfB Stuttgart,Bundesliga,Germany,Permanent,3.7
Ishaq Abdulrazak,20,Right Midfield,Nigeria,3.0,RSC Anderlecht,Jupiler Pro League,Belgium,Permanent,3.0
Roberto Fernández,22,Centre-Back,Paraguay,1.3,Dynamo Moscow,Premier Liga,Russia,Permanent,3.0
Elias Cobbaut,24,Centre-Back,Belgium,3.0,Parma,Serie B,Italy,Permanent,3.0
Jayden Oosterwolde,21,Left-Back,Netherlands,1.0,Parma,Serie B,Italy,Permanent,3.0
Osman Bukari,23,Right Winger,Ghana,3.0,Red Star,Super liga Srbije,Serbia,Permanent,3.0
Nicolai Vallys,25,Attacking Midfield,Denmark,1.5,Bröndby IF,Superligaen,Denmark,Permanent,3.0
Joaquim,24,Centre-Back,Brazil,5.0,Santos,Série A,Brazil,Permanent,3.0
Alan Matturro,18,Centre-Back,Uruguay,1.7,Genoa,Serie B,Italy,Permanent,3.0
Daniel Mancini,26,Right Winger,Argentina,2.5,Panathinaikos,Super League 1,Greece,Permanent,3.0
Ibrahim Salah,21,Left Winger,Morocco,8.0,Rennes,Ligue 1,France,Permanent,3.0
Mamadou Coulibaly,23,Central Midfield,Senegal,2.5,Salernitana,Serie A,Italy,Permanent,3.0
Robert Ljubicic,22,Left-Back,Croatia,2.5,Dinamo Zagreb,SuperSport HNL,Croatia,Permanent,3.0
Albert Grönbaek,21,Central Midfield,Denmark,1.5,Bodø/Glimt,Eliteserien,Norway,Permanent,3.0
Matthew Hoppe,21,Centre-Forward,United States,1.0,Middlesbrough,Championship,England,Permanent,3.0
Dmytro Riznyk,24,Goalkeeper,Ukraine,2.0,Shakhtar D.,Premier Liga,Ukraine,Permanent,3.0
Jean-Eudes Aholou,28,Defensive Midfield,Cote d'Ivoire,3.0,R. Strasbourg,Ligue 1,France,Permanent,3.0
Veton Berisha,28,Centre-Forward,Norway,1.8,Molde,Eliteserien,Norway,Permanent,3.0
Liberato Cacace,21,Left-Back,New Zealand,2.5,FC Empoli,Serie A,Italy,Permanent,3.0
Lucas Fasson,21,Centre-Back,Brazil,1.5,Loko Moscow,Premier Liga,Russia,Permanent,3.0
Mario Mitaj,19,Left-Back,Albania,5.0,Loko Moscow,Premier Liga,Russia,Permanent,3.0
Bafodé Diakité,21,Right-Back,France,3.0,LOSC Lille,Ligue 1,France,Permanent,3.0
Thierno Baldé,20,Right-Back,France,2.0,Troyes,Ligue 1,France,Permanent,3.0
Arijanet Muric,23,Goalkeeper,Kosovo,2.6,Burnley,Championship,England,Permanent,3.0
Rasmus Carstensen,21,Right-Back,Denmark,1.5,KRC Genk,Jupiler Pro League,Belgium,Permanent,3.0
Matías Palacios,20,Attacking Midfield,Argentina,2.0,Al-Ain FC,UAE Pro League,United Arab Emirates,Permanent,3.0
Luca Valzania,26,Central Midfield,Italy,1.2,Cremonese,Serie A,Italy,Permanent,3.0
Luca Zanimacchia,23,Right Winger,Italy,2.0,Cremonese,Serie A,Italy,Permanent,3.0
Gui Guedes,20,Central Midfield,Portugal,5.0,UD Almería,LaLiga,Spain,Permanent,3.0
Matteo Tramoni,22,Left Winger,France,2.2,Pisa,Serie B,Italy,Permanent,3.0
Marcel Tisserand,29,Centre-Back,DR Congo,2.8,Ettifaq FC,Saudi Pro League,Saudi Arabia,Permanent,3.0
Vivaldo,17,Centre-Forward,Portugal,,Udinese U19,Primavera 1,Italy,Permanent,3.0
José Gragera,22,Central Midfield,Spain,3.0,Espanyol,LaLiga,Spain,Permanent,2.8
Léo,26,Centre-Back,Brazil,3.0,Vasco da Gama,Série A,Brazil,Permanent,2.8
Leonardo Campana,22,Centre-Forward,Ecuador,3.0,Miami,MLS,United States,Permanent,2.7
Matt Clarke,25,Centre-Back,England,3.0,Middlesbrough,Championship,England,Permanent,2.6
Hrvoje Smolcic,21,Centre-Back,Croatia,3.0,E. Frankfurt,Bundesliga,Germany,Permanent,2.5
Antonio Colak,28,Centre-Forward,Croatia,3.0,Rangers,Premiership,Scotland,Permanent,2.5
Eduard Sobol,27,Left-Back,Ukraine,3.0,R. Strasbourg,Ligue 1,France,Permanent,2.5
Felipe,33,Centre-Back,Brazil,3.0,Nottm Forest,Premier League,England,Permanent,2.3
Fernando Pacheco,30,Goalkeeper,Spain,3.0,Espanyol,LaLiga,Spain,Permanent,2.2
Zanocelo,21,Central Midfield,Brazil,3.0,Santos,Série A,Brazil,Permanent,2.0
Nathan,20,Right-Back,Brazil,3.0,Santos,Série A,Brazil,Permanent,2.0
Adama Traoré,27,Right Winger,Mali,3.0,Ferencváros,NB I.,Hungary,Permanent,2.0
Rochinha,27,Left Winger,Portugal,3.0,Sporting CP,Liga Portugal,Portugal,Permanent,2.0
Philip Zinckernagel,27,Attacking Midfield,Denmark,3.0,Olympiacos,Super League 1,Greece,Permanent,2.0
Ben Malango,28,Centre-Forward,DR Congo,3.0,Qatar SC,Stars League,Qatar,Permanent,2.0
Léo Jardim,27,Goalkeeper,Brazil,3.0,Vasco da Gama,Série A,Brazil,Permanent,2.0
Cédric Hountondji,28,Centre-Back,Benin,3.0,Angers SCO,Ligue 1,France,Permanent,2.0
Ramiro Enrique,21,Centre-Forward,Argentina,3.0,Orlando,MLS,United States,Permanent,1.84
